Trading day,Product,MIBGAS Daily Price [EUR/MWh]
31/12/2022,GDAES_D+1,62.49
30/12/2022,GDAES_D+1,52.85
30/12/2022,GMAES,71.61
29/12/2022,GDAES_D+1,64.78
29/12/2022,GMAES,78.33
29/12/2022,GQES_Q+1,79.8
29/12/2022,GYES_Y+1,79.42
28/12/2022,GDAES_D+1,69.83
28/12/2022,GMAES,75.65
28/12/2022,GQES_Q+1,78.65
28/12/2022,GYES_Y+1,74.76
27/12/2022,GDAES_D+1,71.95
27/12/2022,GMAES,76.5
27/12/2022,GQES_Q+1,73.33
27/12/2022,GYES_Y+1,73.27
26/12/2022,GDAES_D+1,72.2
25/12/2022,GDAES_D+1,71.81
24/12/2022,GDAES_D+1,62.1
23/12/2022,GDAES_D+1,70.5
23/12/2022,GMAES,78.2
23/12/2022,GQES_Q+1,80
23/12/2022,GYES_Y+1,76.73
22/12/2022,GDAES_D+1,71.05
22/12/2022,GMAES,82.7
22/12/2022,GQES_Q+1,84.67
22/12/2022,GYES_Y+1,82.87
21/12/2022,GDAES_D+1,80.7
21/12/2022,GMAES,88.55
21/12/2022,GQES_Q+1,96
21/12/2022,GYES_Y+1,94.05
20/12/2022,GDAES_D+1,84.93
20/12/2022,GMAES,96.3
20/12/2022,GQES_Q+1,96.75
20/12/2022,GYES_Y+1,94.7
19/12/2022,GDAES_D+1,87.5
19/12/2022,GMAES,96.46
19/12/2022,GQES_Q+1,99.9
19/12/2022,GYES_Y+1,96.93
18/12/2022,GDAES_D+1,97.8
17/12/2022,GDAES_D+1,102.72
16/12/2022,GDAES_D+1,112.85
16/12/2022,GMAES,108
16/12/2022,GQES_Q+1,102.21
16/12/2022,GYES_Y+1,101.68
15/12/2022,GDAES_D+1,116.09
15/12/2022,GMAES,117.75
15/12/2022,GQES_Q+1,117.7
15/12/2022,GYES_Y+1,117.14
14/12/2022,GDAES_D+1,116.85
14/12/2022,GMAES,113.75
14/12/2022,GQES_Q+1,113
14/12/2022,GYES_Y+1,113.2
13/12/2022,GDAES_D+1,119.9
13/12/2022,GMAES,119.25
13/12/2022,GQES_Q+1,118
13/12/2022,GYES_Y+1,118.29
12/12/2022,GDAES_D+1,119.81
12/12/2022,GMAES,119.71
12/12/2022,GQES_Q+1,120
12/12/2022,GYES_Y+1,118.18
11/12/2022,GDAES_D+1,131.99
10/12/2022,GDAES_D+1,137.63
09/12/2022,GDAES_D+1,131.89
09/12/2022,GMAES,125
09/12/2022,GQES_Q+1,121.01
09/12/2022,GYES_Y+1,121.49
08/12/2022,GDAES_D+1,131.5
08/12/2022,GMAES,114.12
08/12/2022,GQES_Q+1,115.63
08/12/2022,GYES_Y+1,118.71
07/12/2022,GDAES_D+1,123.6
07/12/2022,GMAES,125.13
07/12/2022,GQES_Q+1,128.96
07/12/2022,GYES_Y+1,128.47
06/12/2022,GDAES_D+1,122.85
06/12/2022,GMAES,120.7
06/12/2022,GQES_Q+1,115.15
06/12/2022,GYES_Y+1,116.59
05/12/2022,GDAES_D+1,120.56
05/12/2022,GMAES,115.47
05/12/2022,GQES_Q+1,111.39
05/12/2022,GYES_Y+1,113.2
04/12/2022,GDAES_D+1,144.13
03/12/2022,GDAES_D+1,141.6
02/12/2022,GDAES_D+1,117.9
02/12/2022,GMAES,108.07
02/12/2022,GQES_Q+1,108
02/12/2022,GYES_Y+1,114.81
01/12/2022,GDAES_D+1,101
01/12/2022,GMAES,113
01/12/2022,GQES_Q+1,114.03
01/12/2022,GYES_Y+1,116.74
30/11/2022,GDAES_D+1,105.45
30/11/2022,GMAES,121.5
30/11/2022,GQES_Q+1,117.77
30/11/2022,GYES_Y+1,121.34
29/11/2022,GDAES_D+1,103.78
29/11/2022,GMAES,102.25
29/11/2022,GQES_Q+1,104
29/11/2022,GYES_Y+1,111.5
28/11/2022,GDAES_D+1,95
28/11/2022,GMAES,93.31
28/11/2022,GQES_Q+1,96.6
28/11/2022,GYES_Y+1,103.27
27/11/2022,GDAES_D+1,87.93
26/11/2022,GDAES_D+1,82.64
25/11/2022,GDAES_D+1,87.85
25/11/2022,GMAES,92
25/11/2022,GQES_Q+1,99.51
