fecha,tmin_madrid,tmax_madrid,velmedia_viento_madrid
2021-01-01,"0,0","7,3","4,7"
2021-01-02,"-3,3","5,7","2,2"
2021-01-03,"-5,0","8,7","1,9"
2021-01-04,"-2,4","7,3","4,4"
2021-01-05,"-6,3","6,7","1,4"
2021-01-06,"-6,9","7,1","1,4"
2021-01-07,"-4,4","2,0","2,5"
2021-01-08,"-4,3","0,6","3,9"
2021-01-09,"-1,3","0,3","3,1"
2021-01-10,"-3,5","4,1","2,5"
2021-01-11,"-10,1","6,1","1,4"
2021-01-12,"-13,4","1,0","0,6"
2021-01-13,"-12,2","3,4","0,8"
2021-01-14,"-10,9","4,4","0,8"
2021-01-15,"-9,4","6,9","1,4"
2021-01-16,"-9,3","5,9","0,6"
2021-01-17,"-10,1","6,0","1,1"
2021-01-18,"-7,7","9,5","1,1"
2021-01-19,"-7,7","7,7","1,1"
2021-01-20,"-2,9","5,7","2,5"
2021-01-21,"4,1","10,4","4,7"
2021-01-22,"5,4","10,8","6,9"
2021-01-23,"3,9","11,2","8,1"
2021-01-24,"8,1","12,8","5,6"
2021-01-25,"8,4","14,2","6,9"
2021-01-26,"6,6","15,1","1,1"
2021-01-27,"9,5","18,6","1,4"
2021-01-28,"7,8","12,1","1,1"
2021-01-29,"7,2","11,4","1,9"
2021-01-30,"8,0","13,8","7,8"
2021-01-31,"8,4","13,4","7,2"
2021-02-01,"8,5","16,8","8,1"
2021-02-02,"7,0","12,8","4,2"
2021-02-03,"7,0","12,2","3,3"
2021-02-04,"7,9","13,4","2,2"
2021-02-05,"5,3","16,6","2,2"
2021-02-06,"6,2","11,8","2,2"
2021-02-07,"3,5","11,6","4,7"
2021-02-08,"5,9","12,0","5,3"
2021-02-09,"6,1","9,7","6,1"
2021-02-10,"6,6","14,7","5,6"
2021-02-11,"4,0","12,8","2,2"
2021-02-12,"6,3","14,9","4,7"
2021-02-13,"2,8","15,8","1,1"
2021-02-14,"0,9","16,8","1,4"
2021-02-15,"2,9","15,0","1,4"
2021-02-16,"1,6","14,9","1,7"
2021-02-17,"3,1","16,4","1,7"
2021-02-18,"1,3","16,5","3,1"
2021-02-19,"1,4","18,2","2,8"
2021-02-20,"2,3","18,1","4,2"
2021-02-21,"6,4","12,4","2,5"
2021-02-22,"3,6","11,4","1,1"
2021-02-23,"0,2","14,4","1,9"
2021-02-24,"1,0","15,5","2,2"
2021-02-25,"3,1","13,4","1,9"
2021-02-26,"3,3","16,6","1,7"
2021-02-27,"2,1","19,6","1,1"
2021-02-28,"2,1","14,5","2,2"
2021-03-01,"5,5","9,6","1,7"
2021-03-02,"6,5","14,6","0,6"
2021-03-03,"6,2","14,1","1,1"
2021-03-04,"3,2","13,2","1,1"
