fecha,tmin_sevilla,tmax_sevilla,velmedia_viento_sevilla
2021-01-01,"4,7","13,6","3,9"
2021-01-02,"0,2","12,8","2,2"
2021-01-03,"-1,5","12,5","2,5"
2021-01-04,"-0,6","12,3","1,7"
2021-01-05,"3,6","11,3","3,1"
2021-01-06,"2,0","11,9","4,7"
2021-01-07,"6,8","8,6","5,0"
2021-01-08,"6,7","8,3","7,2"
2021-01-09,"4,0","10,1","2,8"
2021-01-10,"2,3","10,2","1,9"
2021-01-11,"2,1","13,3","2,2"
2021-01-12,"0,5","11,9","2,5"
2021-01-13,"0,4","15,6","2,2"
2021-01-14,"-0,6","13,5","1,7"
2021-01-15,"-0,1","16,1","1,7"
2021-01-16,"1,6","16,4","2,2"
2021-01-17,"1,9","17,9","2,5"
2021-01-18,"0,9","16,2","1,4"
2021-01-19,"1,7","14,8","1,1"
2021-01-20,"11,6","15,2","7,2"
2021-01-21,"8,7","17,5","4,7"
2021-01-22,"12,7","17,2","6,7"
2021-01-23,"8,4","17,4","5,8"
2021-01-24,"12,7","18,5","3,6"
2021-01-25,"12,6","19,5","5,0"
2021-01-26,"14,4","17,5","1,9"
2021-01-27,"13,4","20,7","1,9"
2021-01-28,"10,4","22,6","1,7"
2021-01-29,"10,7","14,3","2,2"
2021-01-30,"11,8","18,9","6,4"
2021-01-31,"10,8","18,6","5,0"
2021-02-01,"10,7","18,4","4,4"
2021-02-02,"8,7","19,0","1,7"
2021-02-03,"12,2","18,7","1,9"
2021-02-04,"13,1","18,4","2,5"
2021-02-05,"10,9","14,4","3,1"
2021-02-06,"10,2","14,6","5,3"
2021-02-07,"9,8","15,1","4,4"
2021-02-08,"11,6","16,9","6,7"
2021-02-09,"11,4","15,6","6,4"
2021-02-10,"13,8","18,5","6,7"
2021-02-11,"13,7","18,3","1,9"
2021-02-12,"9,6","20,3","2,5"
2021-02-13,"6,9","19,9","1,9"
2021-02-14,"7,1","22,4","4,2"
2021-02-15,"8,6","22,5","3,3"
2021-02-16,"6,7","21,3","1,7"
2021-02-17,"7,3","24,1","1,4"
2021-02-18,"6,9","18,3","1,9"
2021-02-19,"8,2","17,4","1,7"
2021-02-20,"7,6","22,3","2,2"
2021-02-21,"9,3","15,2","3,6"
2021-02-22,"4,5","16,9","2,8"
2021-02-23,"6,1","19,1","4,2"
2021-02-24,"8,4","20,5","5,8"
2021-02-25,"8,7","19,4","2,5"
2021-02-26,"10,1","19,3","1,4"
2021-02-27,"7,6","17,1","2,2"
2021-02-28,"8,0","19,9","3,3"
2021-03-01,"10,9","20,3","2,8"
2021-03-02,"9,9","21,1","1,4"
2021-03-03,"9,1","21,3","0,8"
2021-03-04,"9,9","21,0","1,1"
2021-03-05,"10,9","15,3","3,9"
2021-03-06,"9,9","17,7","2,2"
2021-03-07,"11,3","19,8","1,7"
2021-03-08,"10,5","16,8","2,8"
2021-03-09,"7,1","18,7","1,7"
2021-03-10,"6,8","20,8","1,1"
2021-03-11,"7,1","22,5","1,9"
2021-03-12,"8,5","21,6","2,5"
2021-03-13,"5,1","21,7","2,2"
2021-03-14,"6,4","21,6","3,9"
2021-03-15,"8,8","23,3","3,3"
2021-03-16,"7,3","23,5","2,8"
2021-03-17,"10,4","23,2","5,0"
2021-03-18,"7,9","21,5","5,8"
2021-03-19,"6,0","18,3","4,2"
2021-03-20,"6,3","17,5","5,3"
2021-03-21,"1,6","18,5","1,4"
2021-03-22,"3,6","21,4","2,2"
2021-03-23,"5,5","22,5","3,6"
2021-03-24,"9,2","23,1","3,1"
2021-03-25,"9,2","22,0","2,8"
2021-03-26,,,
2021-03-27,"10,0","26,4","3,3"
2021-03-28,"12,3","26,3","3,6"
2021-03-29,"15,0","26,7","3,1"
2021-03-30,"15,2","26,3","4,7"
2021-03-31,"15,8","30,2","6,1"
2021-04-01,"13,8","22,9","6,7"
2021-04-02,"12,6","22,9","3,9"
2021-04-03,"9,9","23,5","1,9"
2021-04-04,"11,7","24,7","1,9"
2021-04-05,"12,0","25,6","1,4"
2021-04-06,"11,1","27,2","1,4"
2021-04-07,"11,2","26,0","3,6"
2021-04-08,"13,4","23,5","2,2"
2021-04-09,"13,4","23,3","2,5"
2021-04-10,"14,4","23,5","3,9"
2021-04-11,"13,7","23,6","4,2"
2021-04-12,"13,0","25,3","2,5"
2021-04-13,"12,0","26,3","1,9"
2021-04-14,"14,1","22,0","3,1"
2021-04-15,"13,9","21,5","1,9"
2021-04-16,"13,0","23,4","3,3"
2021-04-17,"12,7","25,1","3,3"
2021-04-18,"10,0","25,9","1,7"
2021-04-19,"11,9","26,2","3,6"
2021-04-20,"10,3","24,5","1,9"
2021-04-21,"10,4","23,5","4,4"
2021-04-22,"15,0","25,5","2,8"
2021-04-23,"12,9","27,1","3,9"
2021-04-24,"10,4","24,2","2,8"
2021-04-25,"13,1","23,2","2,5"
2021-04-26,"13,6","22,8","4,2"
2021-04-27,"15,2","22,1","2,5"
2021-04-28,"11,7","22,1","5,3"
2021-04-29,"11,5","21,2","3,9"
2021-04-30,"11,2","22,3","3,3"
2021-05-01,"8,1","21,2","4,7"
2021-05-02,"7,6","23,0","1,7"
2021-05-03,"9,8","23,4","1,9"
2021-05-04,"11,2","27,8","2,8"
2021-05-05,"12,3","29,8","1,7"
2021-05-06,"12,8","30,8","2,5"
2021-05-07,"12,5","31,7","2,5"
2021-05-08,"13,3","31,5","3,9"
2021-05-09,"13,6","21,5","6,7"
2021-05-10,"10,2","21,1","3,6"
2021-05-11,"8,3","23,0","1,7"
2021-05-12,"9,7","26,7","3,3"
2021-05-13,"11,5","28,2","4,2"
2021-05-14,"11,3","28,7","1,9"
2021-05-15,"12,9","33,3","2,8"
2021-05-16,"15,7","33,1","3,9"
2021-05-17,"16,9","31,2","3,6"
2021-05-18,"14,9","33,3","3,1"
2021-05-19,"16,9","34,0","3,3"
