fecha,tmin_valencia,tmax_valencia,velmedia_viento_valencia
2021-01-01,"3,5","13,5","4,4"
2021-01-02,"1,4","11,3","4,4"
2021-01-03,"-0,9","13,9","4,7"
2021-01-04,"1,3","12,1","6,9"
2021-01-05,"-1,8","12,1","1,9"
2021-01-06,"-2,3","11,0","1,7"
2021-01-07,"4,4","8,7","3,1"
2021-01-08,"4,1","6,3","3,3"
2021-01-09,"1,6","6,8","3,3"
2021-01-10,"-0,9","8,9","2,2"
2021-01-11,"-0,4","10,1","2,8"
2021-01-12,"-1,8","12,0","4,4"
2021-01-13,"-0,8","14,4","3,3"
2021-01-14,"-0,4","16,7","1,7"
2021-01-15,"2,4","17,9","4,2"
2021-01-16,"0,2","17,0","2,8"
2021-01-17,"2,9","22,1","3,9"
2021-01-18,"3,2","17,0","2,2"
2021-01-19,"0,8","15,5","0,8"
2021-01-20,"0,4","12,7","3,1"
2021-01-21,"10,3","18,1","7,8"
2021-01-22,"10,7","18,9","12,2"
2021-01-23,"9,0","17,4","7,8"
2021-01-24,"12,9","19,4","6,7"
2021-01-25,"11,7","20,2","8,1"
2021-01-26,"5,4","18,1","1,9"
2021-01-27,"9,1","26,0","3,1"
2021-01-28,"9,4","26,2","3,9"
2021-01-29,"13,1","25,6","6,4"
2021-01-30,"12,3","20,3","11,1"
2021-01-31,"11,3","20,3","8,9"
2021-02-01,"14,8","23,5","10,0"
2021-02-02,"11,7","22,6","6,1"
2021-02-03,"10,3","20,9","2,8"
2021-02-04,"8,6","16,6","3,3"
2021-02-05,"11,5","15,0","3,9"
2021-02-06,"8,5","20,5","5,3"
2021-02-07,"9,9","18,7","5,6"
2021-02-08,"10,9","18,8","6,9"
2021-02-09,"11,3","19,5","5,0"
2021-02-10,"10,6","20,6","8,3"
2021-02-11,"9,2","21,9","4,4"
2021-02-12,"11,8","22,8","7,2"
2021-02-13,"8,6","23,2","3,6"
2021-02-14,"4,5","16,2","3,6"
2021-02-15,"10,2","15,8","2,2"
2021-02-16,"5,5","19,9","1,7"
2021-02-17,"6,1","16,5","2,2"
2021-02-18,"8,1","15,6","1,9"
2021-02-19,"7,8","16,8","2,5"
2021-02-20,"10,3","15,3","3,1"
2021-02-21,"9,8","15,5","6,7"
2021-02-22,"8,5","17,0","3,9"
2021-02-23,"7,8","16,7","2,5"
2021-02-24,"9,8","15,7","2,8"
2021-02-25,"8,7","16,1","1,7"
2021-02-26,"7,2","15,5","2,5"
