;FEATURES;TRAIN DATE;TEST DATE;MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;NORMALIZATION;TRAINING_TIME;TEST_TIME;mape;mae
0;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);24;24;zscore;6.906887769699097;0.2983796596527099;14.22399222229624;25.17851517005455
1;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);24;48;zscore;7.614904165267944;0.3645510673522949;14.2623082704806;25.01458097550852
2;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);24;72;zscore;9.21029782295227;0.468813419342041;14.793027301420755;26.43238998094472
3;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);24;168;zscore;14.27252745628357;0.4263825416564941;13.844240481395394;25.27756252904249
4;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);24;24;zscore;10.989016056060793;0.0557432174682617;13.320363043339553;23.148669354779
5;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);24;48;zscore;22.25882863998413;0.0544764995574951;13.234412317262292;22.915705228586887
6;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);24;72;zscore;33.607998847961426;0.0546886920928955;13.138097656483875;23.063261542776445
7;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);24;168;zscore;78.98091673851013;0.0440952777862548;12.52545526990296;22.158705417420887
8;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;56.924153327941895;0.0399844646453857;16.10339627953386;28.90566559727616
9;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;102.06074786186218;0.0207147598266601;15.053827882161992;26.50510804672856
10;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;145.7108976840973;0.0207393169403076;15.162561984288152;27.162242971737182
11;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;317.39183950424194;0.024022102355957;14.281317091896774;26.46192800154692
12;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);24;24;zscore;8.126418113708496;0.3673529624938965;14.467822443257775;25.585296551809343
13;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);24;48;zscore;9.098906755447388;0.3656833171844482;14.450050182184505;25.32582362855956
14;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);24;72;zscore;10.998959064483644;0.4361555576324463;14.290136943631689;25.865466969651333
15;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);24;168;zscore;18.65332555770874;0.4417283535003662;13.417586386587384;24.68848880344283
16;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);24;24;zscore;16.91820502281189;0.0445060729980468;13.445119333870922;23.567795414981408
17;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);24;48;zscore;34.6130895614624;0.0437684059143066;13.52892474276894;23.76641431229445
18;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);24;72;zscore;52.8277006149292;0.0544276237487793;13.870019822538788;24.709876080754693
19;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);24;168;zscore;121.45125150680542;0.0546252727508544;12.68272410855479;22.76212722805151
20;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;80.62210130691528;0.0211427211761474;15.888700071329849;28.63773856830319
21;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;148.52780151367188;0.025137186050415;15.796961983350323;28.42410881508273
22;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;214.01479816436768;0.0223324298858642;16.159673594086794;29.758745042089387
23;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;478.1833961009979;0.0279054641723632;12.993414159771314;24.51298611935361
24;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);24;24;zscore;9.323489665985107;0.4149794578552246;14.753480985530748;25.768775061682486
25;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);24;48;zscore;11.281523942947388;0.4262681007385254;14.234024729071509;25.126424543334853
26;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);24;72;zscore;14.498252630233765;0.416121244430542;14.689947136475098;26.446269696914253
27;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);24;168;zscore;26.329705953598022;0.4301023483276367;15.192256459585463;26.96710819785831
28;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);24;24;zscore;28.88082599639893;0.0443930625915527;13.211946977846267;22.962029582857472
