;FEATURES;TRAIN DATE;TEST DATE;MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;NORMALIZATION;TRAINING_TIME;TEST_TIME;mape;mae
0;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;24;zscore;7.044708251953125;0.3390617370605469;44.81917056806043;42.19572825564863
1;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;48;zscore;8.035293817520142;0.2398674488067627;51.99804915890397;47.16615450641682
2;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;72;zscore;9.249048233032228;0.4308450222015381;56.15278689053514;46.729897549508166
3;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;168;zscore;14.251821279525757;0.3747520446777344;67.18097279758406;47.56568539920291
4;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;24;zscore;10.190578699111938;0.0440025329589843;46.3047491089494;41.63194118296258
5;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;48;zscore;22.173659324646;0.0440502166748046;54.34399135378985;46.246926611753146
6;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;72;zscore;33.09017634391785;0.0444884300231933;57.59677241282872;46.159938954013576
7;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;168;zscore;77.30481791496277;0.0552778244018554;69.86336031574031;46.923095979562525
8;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;57.85288953781128;0.0195906162261962;47.448965889632944;47.46882304422907
9;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;103.34098863601685;0.0174622535705566;52.72516740472318;48.50939018486149
10;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;145.82294154167175;0.0188159942626953;56.239663455594325;48.1412137411217
11;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;317.376428604126;0.0224642753601074;70.20944271349708;50.81431725765299
12;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;24;zscore;8.292330503463745;0.3396303653717041;44.659217191046096;42.374386957186815
13;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;48;zscore;9.484894275665283;0.3272798061370849;54.17506536355595;48.18380313608149
14;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;72;zscore;11.557104587554932;0.4169995784759521;58.2481182744989;48.29841508823593
15;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;168;zscore;19.178835153579712;0.4342682361602783;68.90238737894242;49.840670075460665
16;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;24;zscore;16.57381319999695;0.0435764789581298;45.87719512813636;40.90182985324578
17;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;48;zscore;33.44939589500427;0.044323444366455;54.64603567170401;46.38254637969616
