FEATURES,TRAIN DATE,TEST DATE,MODEL,MODEL_DESCRIPTION,FORECAST_HORIZON,PAST_HISTORY,NORMALIZATION,TRAINING_TIME,TEST_TIME,mape,mae
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,m5p,(10 25),24,24,zscore,40.2880439758301,0.590275526046753,14.4061796609508,25.281351419835
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,m5p,(10 25),24,48,zscore,56.3444795608521,0.627566576004028,29.8630811829173,49.2268919765028
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,m5p,(10 25),24,72,zscore,56.108692407608,0.853885412216187,15.0496530917593,26.8293073256181
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,m5p,(10 25),24,168,zscore,81.190262556076,0.785987854003906,14.488596230035,25.5925526247632
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,rf,(300 10 4 1),24,24,zscore,87.0600099563599,0.105703592300415,13.3025865714496,22.860499406101
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,rf,(300 10 4 1),24,48,zscore,140.850479841232,0.101694345474243,12.8937360650059,21.9031962275305
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,rf,(300 10 4 1),24,72,zscore,199.030381441116,0.105082988739014,12.650462475486,21.6627998830606
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,rf,(300 10 4 1),24,168,zscore,428.657729625702,0.103912115097046,12.3181134408871,21.1995463121787
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-05-01 00:00:00 - 2022-05-01 00:00:00,2022-05-01 00:00:00 - 2022-06-01 00:00:00,m5p,(10 25),24,24,zscore,40.6124942302704,0.590681552886963,14.4905419769435,19.963497886086
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-05-01 00:00:00 - 2022-05-01 00:00:00,2022-05-01 00:00:00 - 2022-06-01 00:00:00,m5p,(10 25),24,48,zscore,46.2863185405731,0.621296167373657,14.1409337408536,19.1647918182456
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-05-01 00:00:00 - 2022-05-01 00:00:00,2022-05-01 00:00:00 - 2022-06-01 00:00:00,m5p,(10 25),24,72,zscore,54.4135224819183,0.795082807540894,14.2667806916251,18.8101523249361
