;FEATURES;TRAIN DATE;TEST DATE;MODEL;MODEL_DESCRIPTION;FEATURE SELECTION;FORECAST_HORIZON;PAST_HISTORY;NORMALIZATION;TRAINING_TIME;TEST_TIME;mape;mae
0;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 00:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);SelectKBest 0.5;24;168;zscore;11.240732669830322;0.4397985935211181;13.885587315242487;25.11436946103298
1;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 00:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);SelectKBest 0.25;24;168;zscore;9.622113466262816;0.3448395729064941;13.570967492249684;24.4841796237465
2;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 00:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);SelectKBest 0.1;24;168;zscore;6.865065336227417;0.2715318202972412;13.46850017919787;23.652537125336053
3;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 00:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.5;24;168;zscore;46.36882185935974;0.0545494556427001;12.740623037635958;22.61468764549657
4;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 00:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.25;24;168;zscore;40.17547821998596;0.0440671443939209;12.570855682751574;22.285212417030195
5;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 00:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.1;24;168;zscore;19.017029285430908;0.0439212322235107;12.831990273150856;22.266086286099
6;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 00:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);SelectKBest 0.5;24;168;zscore;11.524556636810305;0.477398157119751;14.319836186711822;25.29431632351793
7;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 00:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);SelectKBest 0.25;24;168;zscore;9.795716524124146;0.3109643459320068;13.671701519861143;24.643410290022143
8;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 00:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;m5p;(10 25);SelectKBest 0.1;24;168;zscore;7.018787145614624;0.2478926181793213;13.561547278616152;23.811922095992017
9;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 00:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.5;24;168;zscore;51.29122233390808;0.0442473888397216;12.430283855703506;21.513159939670228
